scenario,step,load_kw,pv_kw,wind_kw,price,carbon_g_per_kwh,carbon_observed_g_per_kwh
2019-01-15,21,1364.713658100385,0.0,249.25641444680505,0.0521,225.0,240.0
2019-01-15,22,1186.890089809883,0.0,231.18973688511196,0.05128,196.0,225.0
2019-01-15,23,1054.5546440651608,0.0,247.27079588168002,0.053,163.0,196.0
2019-01-16,0,1025.0573461373976,0.0,240.72560875960124,0.05049,159.5,163.0
2019-01-16,1,993.460596399829,0.0,240.8236639973852,0.04998,157.5,159.5
2019-01-16,2,946.6428210411726,0.0,239.4263768589639,0.049,156.5,157.5
2019-01-16,3,909.8674235060846,0.0,238.47033829057037,0.04893,150.5,156.5
2019-01-16,4,905.843474203958,0.0,237.88200686386665,0.04943,151.0,150.5
2019-01-16,5,964.2782162435365,0.0,241.01977447295312,0.055,193.5,151.0
2019-01-16,6,1152.389098402084,0.0,232.5134825951953,0.06103,266.5,193.5
2019-01-16,7,1346.238482174099,0.0,226.92433404151006,0.06001,303.5,266.5
2019-01-16,8,1428.8519108899345,1.4814814814814814,135.806504330773,0.06291,300.5,303.5
2019-01-16,9,1469.7212394541427,26.962962962962962,218.5160974015362,0.06268,305.0,300.5
2019-01-16,10,1475.9846040200616,88.59259259259258,213.76041836901456,0.06167,305.0,305.0
2019-01-16,11,1516.8539325842698,134.22222222222223,220.3546331099853,0.05912,294.5,305.0
2019-01-16,12,1520.632945841919,114.96296296296296,225.6005883314267,0.05881,299.0,294.5
2019-01-16,13,1522.1725438357764,111.25925925925925,221.5803235822847,0.05689,303.0,299.0
2019-01-16,14,1516.5740056762957,99.85185185185185,211.77479980388952,0.055,305.0,303.0
2019-01-16,15,1559.8227129582833,46.96296296296296,201.20934793266875,0.05533,298.5,305.0
2019-01-16,16,1688.9389992613042,2.962962962962963,201.99378983494034,0.0675,300.5,298.5
2019-01-16,17,1730.8930445939118,0.0,186.1088413139402,0.0814,303.0,300.5
2019-01-16,18,1714.4473387504374,0.0,183.14267037097565,0.07742,310.0,303.0
2019-01-16,19,1658.3569845651414,0.0,170.02778231737213,0.068,312.5,310.0
2019-01-16,20,1583.4765366820886,0.0,175.81304134662528,0.05855,285.5,312.5
2019-01-16,21,1456.8446016873372,0.0,183.55940513155744,0.05497,241.0,285.5
2019-01-16,22,1304.4593911589752,0.0,195.0073541428338,0.052,198.5,241.0
2019-01-16,23,1153.4388243069866,0.0,208.75960124203303,0.05386,174.5,198.5
2019-01-17,0,1112.0446327903271,0.0,220.23206406275537,0.055799999999999995,178.5,174.5
2019-01-17,1,1077.0187784300767,0.0,218.98185978100997,0.05294,186.5,178.5
2019-01-17,2,1026.1420629057968,0.0,212.4366726589312,0.05,186.0,186.5
2019-01-17,3,992.6907974029004,0.0,224.47295309691125,0.04895,169.0,186.0
2019-01-17,4,974.1456397496211,0.0,227.90488641934957,0.04819,172.5,169.0
2019-01-17,5,1003.9578554488551,0.0,231.60647164569374,0.05116,191.0,172.5
2019-01-17,6,1206.4499825045684,0.0,246.38829874162445,0.05808,233.0,191.0
2019-01-17,7,1427.6972123945416,0.0,245.82448112436674,0.05904,275.0,233.0
2019-01-17,8,1512.2001477392016,26.962962962962962,232.61153783297925,0.06007,288.0,275.0
2019-01-17,9,1534.559309513627,218.8148148148148,218.22193168818436,0.05931,287.0,288.0
2019-01-17,10,1549.4654173632441,500.0,205.86697172740645,0.05992,284.5,287.0
2019-01-17,11,1539.1781034951987,655.5555555555555,189.51626082693252,0.057,289.0,284.5
2019-01-17,12,1570.3199720073094,700.0,175.46984801438143,0.05738,289.5,289.0
2019-01-17,13,1568.0105750165235,618.5185185185185,157.5012256904723,0.056,303.5,289.5
2019-01-17,14,1567.0308308386145,408.88888888888886,144.09217192351693,0.05853,325.5,303.5
2019-01-17,15,1551.77481435403,127.55555555555554,129.26131720869424,0.059340000000000004,357.0,325.5
2019-01-17,16,1648.769487967031,3.7037037037037033,113.27831344991012,0.0747,375.5,357.0
2019-01-17,17,1684.1802418257457,0.0,103.86501062265076,0.08995,379.5,375.5
2019-01-17,18,1687.3294195404535,0.14814814814814814,98.88870730511522,0.088,379.5,379.5
2019-01-17,19,1689.0789627152913,0.0,95.11358065043308,0.07739,370.5,379.5
2019-01-17,20,1644.9904747093815,0.0,86.38666448766139,0.061,362.0,370.5
2019-01-17,21,1508.7710431165196,0.0,73.29629024350385,0.05896,345.5,362.0
2019-01-17,22,1356.8057229501187,0.0,65.74603693413957,0.05584,325.0,345.5
2019-01-17,23,1232.903075308114,0.0,65.89311979081549,0.05447,331.0,325.0
2019-01-18,0,1207.9545896349287,0.0,62.387645040039224,0.05528,336.5,331.0
2019-01-18,1,1185.910345631974,0.0,63.02500408563491,0.0545,333.0,336.5
2019-01-18,2,1125.4461335095837,0.0,71.40872691616278,0.052520000000000004,331.5,333.0
2019-01-18,3,1086.6062750281872,0.0,81.11619545677398,0.0506,309.0,331.5
2019-01-18,4,1077.5086505190313,0.0,88.7890178133682,0.05057,305.5,309.0
2019-01-18,5,1122.996773064811,0.0,97.7120444517078,0.0573,306.0,305.5
2019-01-18,6,1310.1279110454493,0.0,109.2580487007681,0.06315,332.0,306.0
2019-01-18,7,1588.5852027526148,0.0,115.41101487171107,0.0696,334.5,332.0
2019-01-18,8,1659.4766921970377,14.222222222222221,122.91224056218337,0.06785,329.5,334.5
2019-01-18,9,1703.8101162474245,101.48148148148148,129.21228958980225,0.06785,325.5,329.5
2019-01-18,10,1693.5577932428755,206.66666666666666,133.6247752900801,0.065,317.5,325.5
2019-01-18,11,1675.9923797675053,260.7407407407407,146.64160810589965,0.06315,314.0,317.5
2019-01-18,12,1635.8928502002257,258.5185185185185,154.73116522307566,0.062119999999999995,315.5,314.0
2019-01-18,13,1588.4452392986277,194.66666666666666,157.55025330936428,0.06107,309.5,315.5
2019-01-18,14,1559.4028225963223,152.44444444444443,160.27128615786893,0.061700000000000005,309.5,309.5
2019-01-18,15,1571.8945608646632,45.03703703703704,173.99901944762217,0.062479999999999994,299.5,309.5
2019-01-18,16,1651.6737296372614,1.7777777777777777,181.4512175192025,0.06795,301.0,299.5
2019-01-18,17,1705.6996228762491,0.0,186.03529988560223,0.072,301.5,301.0
2019-01-18,18,1673.193110687765,0.0,187.40807321457754,0.06739,295.0,301.5
2019-01-18,19,1656.1875510283428,0.0,191.3793103448276,0.06528,280.0,295.0
2019-01-18,20,1558.9129505073677,0.0,186.35397940840008,0.05859,256.0,280.0
2019-01-18,21,1418.389642704405,0.0,182.60336656316392,0.05903,239.5,256.0
2019-01-18,22,1242.8754714046888,0.0,175.22470991992157,0.0571,228.5,239.5
2019-01-18,23,1145.3909257027333,0.0,168.4343847033829,0.05817,213.5,228.5
2019-01-19,0,1137.8678900509312,0.0,155.85880045759112,0.055689999999999996,212.5,213.5
2019-01-19,1,1129.819991446678,0.0,148.08792286321295,0.05397,204.5,212.5
2019-01-19,2,1073.1697834454337,0.0,142.7439124039876,0.053380000000000004,211.5,204.5
2019-01-19,3,1022.3630496481475,0.0,138.4539957509397,0.0514,216.5,211.5
2019-01-19,4,995.3501030286537,0.0,129.06520673312633,0.05104,221.5,216.5
